Ticket,Date,Customer - Site - Service,Service,Container Size,Material,Route,Truck,Quantity,Per,Disposal Rate,Per,Disposal Cost,Quantity Billed,Per,Bill Rate,Per,Amount
1047018,08/01/25,208590-0001-001 SOUTHWEST INDUSTRIAL RECYCLI,R1,30.0,28,5226,62,4.5,TN,$46.50,/ TN,$209.25,4.5,TN,$46.50,/ TN,$209.25
1047043,08/01/25,200907-0001-001 WERNER ENTERPRISES,R1,30.0,28,5226,62,1.93,TN,$46.50,/ TN,$89.75,1.93,TN,$46.50,/ TN,$89.75
1047053,08/01/25,205224-0001-002 LA POSADA HOTEL,R2,30.0,28,5225,42,3.11,TN,$46.50,/ TN,$144.62,3.11,TN,$46.50,/ TN,$144.62
1047057,08/01/25,214097-0001-001 WAL MART - 5713,R2,30.0,28,5221,56,10.45,TN,$46.50,/ TN,$485.93,10.45,TN,$46.50,/ TN,$485.93
1047093,08/01/25,213782-0001-001 XPO LOGISTICS/LTL/LLA (XPO000LLA),R1,30.0,28,5223,79,0.99,TN,$46.50,/ TN,$46.04,0.99,TN,$46.50,/ TN,$46.04
1047144,08/01/25,214099-0001-001 WAL MART 8156 (SAM'S),R2,30.0,28,5226,62,2.07,TN,$46.50,/ TN,$96.26,2.07,TN,$46.50,/ TN,$96.26
1047190,08/01/25,205033-0003-002 MALL DEL NORTE,R1,30.0,28,5224,57,0.59,TN,$46.50,/ TN,$27.44,0.59,TN,$46.50,/ TN,$27.44
1047196,08/01/25,200907-0001-001 WERNER ENTERPRISES,R1,30.0,28,5225,42,1.15,TN,$46.50,/ TN,$53.48,1.15,TN,$46.50,/ TN,$53.48
1047202,08/01/25,204106-0001-001 BROKERS LOGISTICS,R1,30.0,28,5223,79,5.41,TN,$46.50,/ TN,$251.57,5.41,TN,$46.50,/ TN,$251.57
1047261,08/01/25,210394-0002-002 INSCO EQUIPMENT SUPPLIES,R1,30.0,28,5224,57,0.99,TN,$46.50,/ TN,$46.04,0.99,TN,$46.50,/ TN,$46.04
1047290,08/01/25,211312-0001-001 PROTRANS INTERNATIONAL,R1,30.0,28,5223,79,0.86,TN,$46.50,/ TN,$39.99,0.86,TN,$46.50,/ TN,$39.99
1047293,08/01/25,214098-0001-001 WAL MART - 3623,R2,30.0,28,5225,42,6.01,TN,$46.50,/ TN,$279.47,6.01,TN,$46.50,/ TN,$279.47
1047317,08/01/25,210687-0001-001 TARGET 2112,R1,30.0,28,5224,57,1.56,TN,$46.50,/ TN,$72.54,1.56,TN,$46.50,/ TN,$72.54
1047329,08/01/25,205738-0001-001 FRENCH ELLISON TRUCK CTR,R1,30.0,28,5221,56,4.03,TN,$46.50,/ TN,$187.40,4.03,TN,$46.50,/ TN,$187.40
1047340,08/01/25,200810-0001-001 EXPEDITORS INT'L OF WASHING,R1,30.0,28,5221,56,1.81,TN,$46.50,/ TN,$84.17,1.81,TN,$46.50,/ TN,$84.17
1047383,08/02/25,203654-0001-001 MC COYS BUILDING SUPPL,R1,30.0,28,6224,57,1.64,TN,$46.50,/ TN,$76.26,1.64,TN,$46.50,/ TN,$76.26
1047444,08/02/25,204273-0001-001 S R FWDG-30YD,R1,30.0,28,6223,79,1.28,TN,$46.50,/ TN,$59.52,1.28,TN,$46.50,/ TN,$59.52
1047451,08/02/25,206290-0002-001 UNION PACIFIC,R1,15.0,28,6226,62,0.19,TN,$46.50,/ TN,$8.84,0.19,TN,$46.50,/ TN,$8.84
1047500,08/02/25,210340-0001-001 OSHKOSH CORP,R1,30.0,28,6224,57,0.47,TN,$46.50,/ TN,$21.86,0.47,TN,$46.50,/ TN,$21.86
1047503,08/02/25,205784-0001-001 EXEL GLOBAL LOGISTICS,R1,30.0,28,6221,56,0.08,TN,$46.50,/ TN,$3.72,0.08,TN,$46.50,/ TN,$3.72
1047562,08/02/25,200770-0001-002 FEDERAL EXPRESS,R1,30.0,28,6221,56,1.35,TN,$46.50,/ TN,$62.78,1.35,TN,$46.50,/ TN,$62.78
1047567,08/01/25,205738-0001-001 FRENCH ELLISON TRUCK CTR,R1,30.0,28,5299,37,0.3,TN,$46.50,/ TN,$13.95,0.3,TN,$46.50,/ TN,$13.95
1047578,08/02/25,214368-0001-001 WINFIELD COMMUNITIES,R1,30.0,28,6226,62,3.34,TN,$46.50,/ TN,$155.31,3.34,TN,$46.50,/ TN,$155.31
1047593,08/02/25,206938-0001-001 S R FWDG-30YD,R1,30.0,28,6223,79,0.36,TN,$46.50,/ TN,$16.74,0.36,TN,$46.50,/ TN,$16.74
1047614,08/01/25,210131-0001-001 TKR USA INC,R1,30.0,28,5223,79,0.67,TN,$46.50,/ TN,$31.16,0.67,TN,$46.50,/ TN,$31.16
1047631,08/02/25,208551-0001-001 TRANE SUPPLY,R1,30.0,28,6224,57,0.66,TN,$46.50,/ TN,$30.69,0.66,TN,$46.50,/ TN,$30.69
1047664,08/02/25,200770-0001-002 FEDERAL EXPRESS,R1,30.0,28,6221,56,0.79,TN,$46.50,/ TN,$36.74,0.79,TN,$46.50,/ TN,$36.74
1047680,08/01/25,205738-0001-001 FRENCH ELLISON TRUCK CTR,R1,30.0,28,5299,37,1.0,TN,$46.50,/ TN,$46.50,1.0,TN,$46.50,/ TN,$46.50
1047682,08/02/25,203347-0001-001 T S I,R1,30.0,28,6221,56,1.39,TN,$46.50,/ TN,$64.64,1.39,TN,$46.50,/ TN,$64.64
1047709,08/02/25,214368-0001-001 WINFIELD COMMUNITIES,R1,30.0,28,6221,56,5.28,TN,$46.50,/ TN,$245.52,5.28,TN,$46.50,/ TN,$245.52
1047721,08/02/25,213782-0001-001 XPO LOGISTICS/LTL/LLA (XPO000LLA),R1,30.0,28,6223,79,1.2,TN,$46.50,/ TN,$55.80,1.2,TN,$46.50,/ TN,$55.80
1047772,08/02/25,214049-0001-001 TP COCINA LLC,R1,15.0,28,6226,62,0.31,TN,$46.50,/ TN,$14.42,0.31,TN,$46.50,/ TN,$14.42
1047804,08/02/25,214368-0001-001 WINFIELD COMMUNITIES,R1,30.0,28,6221,56,1.91,TN,$46.50,/ TN,$88.82,1.91,TN,$46.50,/ TN,$88.82
1047810,08/02/25,216065-0001-001 Rodolfo Sepulveda,R1,30.0,28,6226,62,5.63,TN,$46.50,/ TN,$261.80,5.63,TN,$46.50,/ TN,$261.80
1047818,08/02/25,205033-0003-002 MALL DEL NORTE,R1,30.0,28,6224,57,0.72,TN,$46.50,/ TN,$33.48,0.72,TN,$46.50,/ TN,$33.48
1047917,08/02/25,214368-0001-001 WINFIELD COMMUNITIES,R1,30.0,28,6221,56,0.65,TN,$46.50,/ TN,$30.23,0.65,TN,$46.50,/ TN,$30.23
1047928,08/02/25,215659-0002-001 GABRIEL VIELMA,R1,30.0,28,6226,62,1.45,TN,$46.50,/ TN,$67.43,1.45,TN,$46.50,/ TN,$67.43
1047954,08/04/25,208512-0001-001 FORZA TRANSPORTATION,R1,30.0,28,1299,37,1.49,TN,$46.50,/ TN,$69.29,1.49,TN,$46.50,/ TN,$69.29
1047971,08/04/25,214049-0001-001 TP COCINA LLC,R1,15.0,28,1227,37,0.34,TN,$46.50,/ TN,$15.81,0.34,TN,$46.50,/ TN,$15.81
1047973,08/04/25,210833-0001-001 FUEL AMERICA TRAVEL CTR,R1,30.0,28,1299,37,1.78,TN,$46.50,/ TN,$82.77,1.78,TN,$46.50,/ TN,$82.77
1047988,08/04/25,208512-0001-001 FORZA TRANSPORTATION,R1,30.0,28,1223,79,2.64,TN,$46.50,/ TN,$122.76,2.64,TN,$46.50,/ TN,$122.76
1047996,08/04/25,209670-0001-001 UISD/FIXED ASSETS,R1,30.0,28,1226,62,2.8,TN,$46.50,/ TN,$130.20,2.8,TN,$46.50,/ TN,$130.20
1048016,08/04/25,210687-0001-001 TARGET 2112,R1,30.0,28,1299,37,1.39,TN,$46.50,/ TN,$64.64,1.39,TN,$46.50,/ TN,$64.64
1048050,08/04/25,210918-0001-001 TRAVEL AMERICA,R2,30.0,28,1226,62,1.99,TN,$46.50,/ TN,$92.54,1.99,TN,$46.50,/ TN,$92.54
1048069,08/04/25,207516-0001-001 JAMCO INTERNATIONAL,R1,30.0,28,1223,79,1.35,TN,$46.50,/ TN,$62.78,1.35,TN,$46.50,/ TN,$62.78
1048070,08/04/25,210918-0001-001 TRAVEL AMERICA,R2,30.0,28,1224,57,1.94,TN,$46.50,/ TN,$90.21,1.94,TN,$46.50,/ TN,$90.21
1048083,08/04/25,215926-0001-001 PAISANO HOME BUILDERS,R1,30.0,28,1299,37,6.13,TN,$46.50,/ TN,$285.05,6.13,TN,$46.50,/ TN,$285.05
1048167,08/04/25,213782-0001-001 XPO LOGISTICS/LTL/LLA (XPO000LLA),R1,30.0,28,1223,79,0.46,TN,$46.50,/ TN,$21.39,0.46,TN,$46.50,/ TN,$21.39
1048181,08/04/25,211341-0001-001 RUSH TRUCK CENTER,R1,30.0,28,1299,37,2.32,TN,$46.50,/ TN,$107.88,2.32,TN,$46.50,/ TN,$107.88
1048186,08/04/25,210833-0001-001 FUEL AMERICA TRAVEL CTR,R1,30.0,28,1224,57,1.79,TN,$46.50,/ TN,$83.24,1.79,TN,$46.50,/ TN,$83.24
1048211,08/04/25,215923-0001-002 RAMON BARRIOS,R1,30.0,28,1226,62,2.02,TN,$46.50,/ TN,$93.93,2.02,TN,$46.50,/ TN,$93.93
1048247,08/04/25,215682-0002-001 ASAP ORDERS,R1,30.0,28,1227,37,7.51,TN,$46.50,/ TN,$349.22,7.51,TN,$46.50,/ TN,$349.22
1048254,08/04/25,207516-0001-001 JAMCO INTERNATIONAL,R1,30.0,28,1223,79,2.4,TN,$46.50,/ TN,$111.60,2.4,TN,$46.50,/ TN,$111.60
1048297,08/04/25,214441-0001-001 HOTEL AVA,R1,30.0,28,1226,62,6.39,TN,$46.50,/ TN,$297.14,6.39,TN,$46.50,/ TN,$297.14
1048339,08/04/25,207492-0001-001 GERBER PLUMBING FIXTURES LLC,R1,30.0,28,1227,37,3.46,TN,$46.50,/ TN,$160.89,3.46,TN,$46.50,/ TN,$160.89
1048354,08/04/25,211242-0001-001 BOLANOS & COMPANY,R1,30.0,28,1223,79,0.96,TN,$46.50,/ TN,$44.64,0.96,TN,$46.50,/ TN,$44.64
1048359,08/04/25,205224-0001-002 LA POSADA HOTEL,R2,30.0,28,1224,57,1.19,TN,$46.50,/ TN,$55.34,1.19,TN,$46.50,/ TN,$55.34
1048363,08/04/25,213744-0001-002 KIKO TREVINO,R1,30.0,28,1299,37,5.46,TN,$46.50,/ TN,$253.89,5.46,TN,$46.50,/ TN,$253.89
1048382,08/04/25,214441-0001-001 HOTEL AVA,R1,30.0,28,1226,62,1.56,TN,$46.50,/ TN,$72.54,1.56,TN,$46.50,/ TN,$72.54
1048411,08/04/25,216065-0001-001 Rodolfo Sepulveda,R1,30.0,28,1299,37,5.85,TN,$46.50,/ TN,$272.03,5.85,TN,$46.50,/ TN,$272.03
1048420,08/04/25,210131-0001-001 TKR USA INC,R1,30.0,28,1223,79,0.5,TN,$46.50,/ TN,$23.25,0.5,TN,$46.50,/ TN,$23.25
1048448,08/04/25,216065-0001-001 Rodolfo Sepulveda,R1,30.0,28,1299,37,4.84,TN,$46.50,/ TN,$225.06,4.84,TN,$46.50,/ TN,$225.06
1048451,08/04/25,216066-0001-001 WELL WASH,R1,30.0,28,1224,57,2.55,TN,$46.50,/ TN,$118.58,2.55,TN,$46.50,/ TN,$118.58
1048484,08/05/25,207669-0001-001 TRUCK MOVERS,R1,30.0,28,2221,56,3.42,TN,$46.50,/ TN,$159.03,3.42,TN,$46.50,/ TN,$159.03
1048485,08/05/25,214049-0001-001 TP COCINA LLC,R1,15.0,28,2227,37,0.6,TN,$46.50,/ TN,$27.90,0.6,TN,$46.50,/ TN,$27.90
1048492,08/05/25,211312-0001-001 PROTRANS INTERNATIONAL,R1,30.0,28,2223,79,0.82,TN,$46.50,/ TN,$38.13,0.82,TN,$46.50,/ TN,$38.13
1048501,08/05/25,210378-0001-002 SOUTH TEXAS FOOD BANK,R1,30.0,28,2224,57,1.1,TN,$46.50,/ TN,$51.15,1.1,TN,$46.50,/ TN,$51.15
1048543,08/05/25,216024-0001-001 FAIRFIELD INN & SUITES COTULLA,R1,30.0,28,2299,37,2.76,TN,$46.50,/ TN,$128.34,2.76,TN,$46.50,/ TN,$128.34
1048550,08/05/25,205669-0001-001 BEST AMERICA FORWARDIN,R1,30.0,28,2227,37,2.82,TN,$46.50,/ TN,$131.13,2.82,TN,$46.50,/ TN,$131.13
1048573,08/05/25,212256-0001-002 US COLD STORAGE,R2,30.0,28,2221,56,5.91,TN,$46.50,/ TN,$274.82,5.91,TN,$46.50,/ TN,$274.82
1048582,08/05/25,216008-0001-001 LINAMAR SKYJACK LAREDO,R1,30.0,28,2223,79,2.09,TN,$46.50,/ TN,$97.19,2.09,TN,$46.50,/ TN,$97.19
1048597,08/05/25,214339-0001-001 LOVE'S TRAVEL STOPS 862,R2,30.0,28,2226,62,4.3,TN,$46.50,/ TN,$199.95,4.3,TN,$46.50,/ TN,$199.95
1048661,08/05/25,209972-0001-002 H E B,R2,30.0,28,2221,56,6.02,TN,$46.50,/ TN,$279.93,6.02,TN,$46.50,/ TN,$279.93
1048669,08/05/25,208353-0001-002 ROAD RANGER #272,R2,30.0,28,2224,57,6.87,TN,$46.50,/ TN,$319.46,6.87,TN,$46.50,/ TN,$319.46
1048712,08/05/25,212205-0001-001 UETA INC-OPEN TOP,R1,30.0,28,2299,37,0.41,TN,$46.50,/ TN,$19.07,0.41,TN,$46.50,/ TN,$19.07
1048729,08/05/25,215682-0002-001 ASAP ORDERS,R1,30.0,28,2227,37,7.33,TN,$46.50,/ TN,$340.85,7.33,TN,$46.50,/ TN,$340.85
1048730,08/05/25,200746-0001-001 YUSEN LOGISTICS,R1,30.0,28,2223,79,1.5,TN,$46.50,/ TN,$69.75,1.5,TN,$46.50,/ TN,$69.75
1048754,08/05/25,214441-0001-001 HOTEL AVA,R1,30.0,28,2299,37,3.61,TN,$46.50,/ TN,$167.87,3.61,TN,$46.50,/ TN,$167.87
1048765,08/05/25,212205-0001-001 UETA INC-OPEN TOP,R1,30.0,28,2221,56,0.12,TN,$46.50,/ TN,$5.58,0.12,TN,$46.50,/ TN,$5.58
1048883,08/05/25,215534-0002-001 NAVA TRUCKING,R1,30.0,28,2223,79,2.65,TN,$46.50,/ TN,$123.23,2.65,TN,$46.50,/ TN,$123.23
1048884,08/05/25,215864-0001-001 247 USDS,R1,30.0,28,2299,37,5.54,TN,$46.50,/ TN,$257.61,5.54,TN,$46.50,/ TN,$257.61
1048888,08/05/25,200573-0001-002 SOUTHERN DISTRIBUTING,R1,10.0,28,2227,37,4.03,TN,$46.50,/ TN,$187.40,4.03,TN,$46.50,/ TN,$187.40
1048904,08/05/25,216066-0001-001 WELL WASH,R1,30.0,28,2224,57,1.48,TN,$46.50,/ TN,$68.82,1.48,TN,$46.50,/ TN,$68.82
1048918,08/05/25,206229-0005-002 LAREDO TRUSS,R1,30.0,28,2221,56,4.09,TN,$46.50,/ TN,$190.19,4.09,TN,$46.50,/ TN,$190.19
1048956,08/05/25,215864-0001-001 247 USDS,R1,30.0,28,2299,37,9.48,TN,$46.50,/ TN,$440.82,9.48,TN,$46.50,/ TN,$440.82
1048959,08/05/25,203168-0001-001 CR ENGLAND,R1,30.0,28,2223,79,0.55,TN,$46.50,/ TN,$25.58,0.55,TN,$46.50,/ TN,$25.58
1048978,08/05/25,212307-0002-001 MISSION PRODUCE,R1,40.0,28,2226,62,2.09,TN,$46.50,/ TN,$97.19,2.09,TN,$46.50,/ TN,$97.19
1048980,08/05/25,216056-0001-001 LOS PASTELES BAKERY,R1,10.0,28,2227,37,2.71,TN,$46.50,/ TN,$126.02,2.71,TN,$46.50,/ TN,$126.02
1048983,08/05/25,211450-0001-001 DOCTORS HOSPITAL-COMP,R2,30.0,28,2224,57,4.44,TN,$46.50,/ TN,$206.46,4.44,TN,$46.50,/ TN,$206.46
1048992,08/05/25,203122-0001-001 ZARSKY LUMBER,R1,30.0,28,2221,56,0.3,TN,$46.50,/ TN,$13.95,0.3,TN,$46.50,/ TN,$13.95
1048999,08/05/25,209973-0001-001 H E B -COMPACTOR #4,R2,30.0,28,2226,62,10.03,TN,$46.50,/ TN,$466.40,10.03,TN,$46.50,/ TN,$466.40
1049020,08/06/25,209368-0003-001 RYDER INTEGRATED LOGISTICS,R1,30.0,28,3299,37,0.72,TN,$46.50,/ TN,$33.48,0.72,TN,$46.50,/ TN,$33.48
1049029,08/06/25,210394-0002-001 INSCO EQUIPMENT SUPPLIES,R1,20.0,28,3226,62,0.86,TN,$46.50,/ TN,$39.99,0.86,TN,$46.50,/ TN,$39.99
1049030,08/06/25,213612-0001-001 TRANSPLACE MEXICO LLC,R1,30.0,28,3221,56,1.41,TN,$46.50,/ TN,$65.57,1.41,TN,$46.50,/ TN,$65.57
1049038,08/06/25,209517-0001-001 ROSS STORE # 2003,R2,30.0,28,3224,57,2.61,TN,$46.50,/ TN,$121.37,2.61,TN,$46.50,/ TN,$121.37
1049047,08/06/25,200907-0001-001 WERNER ENTERPRISES,R1,30.0,28,3221,56,2.49,TN,$46.50,/ TN,$115.79,2.49,TN,$46.50,/ TN,$115.79
1049064,08/06/25,211219-0001-001 TRI-NATIONAL INC,R1,30.0,28,3221,56,0.62,TN,$46.50,/ TN,$28.83,0.62,TN,$46.50,/ TN,$28.83
1049070,08/06/25,215682-0002-001 ASAP ORDERS,R1,30.0,28,3227,37,5.46,TN,$46.50,/ TN,$253.89,5.46,TN,$46.50,/ TN,$253.89
1049106,08/06/25,204971-0001-001 SWIFT TRANSPORTATION,R1,30.0,28,3226,62,1.92,TN,$46.50,/ TN,$89.28,1.92,TN,$46.50,/ TN,$89.28
1049114,08/06/25,215530-0001-002 DC LOGISTICS,R1,30.0,28,3299,37,1.77,TN,$46.50,/ TN,$82.31,1.77,TN,$46.50,/ TN,$82.31
1049161,08/06/25,201755-0001-002 CONTINENTAL SERVICES,R1,30.0,28,3221,56,2.01,TN,$46.50,/ TN,$93.47,2.01,TN,$46.50,/ TN,$93.47
1049192,08/06/25,215878-0001-001 MEXUS COLD STORAGE,R1,30.0,28,3224,57,0.61,TN,$46.50,/ TN,$28.37,0.61,TN,$46.50,/ TN,$28.37
1049207,08/06/25,208878-0001-001 T & T FORWARDING,R1,30.0,28,3226,62,1.2,TN,$46.50,/ TN,$55.80,1.2,TN,$46.50,/ TN,$55.80
1049220,08/06/25,214439-0005-001 PENSKE LOGISTICS,R1,30.0,28,3299,37,1.69,TN,$46.50,/ TN,$78.59,1.69,TN,$46.50,/ TN,$78.59
1049235,08/06/25,200936-0001-001 COLORSCAPES INC,R1,30.0,28,3223,79,3.47,TN,$46.50,/ TN,$161.36,3.47,TN,$46.50,/ TN,$161.36
1049237,08/06/25,202895-0001-002 WARREN TRANSPORT,R1,15.0,28,3227,37,3.48,TN,$46.50,/ TN,$161.82,3.48,TN,$46.50,/ TN,$161.82
1049241,08/06/25,214441-0001-001 HOTEL AVA,R1,30.0,28,3226,62,2.59,TN,$46.50,/ TN,$120.44,2.59,TN,$46.50,/ TN,$120.44
1049257,08/06/25,216066-0001-001 WELL WASH,R1,30.0,28,3226,62,2.03,TN,$46.50,/ TN,$94.40,2.03,TN,$46.50,/ TN,$94.40
1049263,08/06/25,215805-0001-001 Precision Waste Solutions,R1,30.0,28,3299,37,1.07,TN,$46.50,/ TN,$49.76,1.07,TN,$46.50,/ TN,$49.76
1049303,08/06/25,210791-0001-001 ALEXANDER DEPOT,R1,30.0,28,3224,57,5.48,TN,$46.50,/ TN,$254.82,5.48,TN,$46.50,/ TN,$254.82
1049318,08/06/25,210842-0001-001 ASCENT FOODS,R1,30.0,13,3221,56,6.97,TN,$216.50,/ TN,"$1,509.01",6.97,TN,$216.50,/ TN,"$1,509.01"
1049325,08/06/25,214441-0001-001 HOTEL AVA,R1,30.0,28,3226,62,1.95,TN,$46.50,/ TN,$90.68,1.95,TN,$46.50,/ TN,$90.68
1049346,08/06/25,208792-0001-001 TEXAS DISCOUNT FURNITURE,R1,30.0,28,3227,37,0.6,TN,$46.50,/ TN,$27.90,0.6,TN,$46.50,/ TN,$27.90
1049365,08/06/25,216089-0001-001 RAFAEL GONZALEZ,R1,30.0,28,3223,79,3.89,TN,$46.50,/ TN,$180.89,3.89,TN,$46.50,/ TN,$180.89
1049366,08/06/25,205947-0009-001 SAVO,R1,30.0,28,3299,37,3.59,TN,$46.50,/ TN,$166.94,3.59,TN,$46.50,/ TN,$166.94
1049372,08/06/25,213474-0008-001 THE OUTLETS SHOPPES AT LAREDO,R1,30.0,24,3226,62,4.78,TN,$0.00,/ TN,$0.00,4.78,TN,$0.00,/ TN,$0.00
1049428,08/06/25,204106-0001-001 BROKERS LOGISTICS,R1,30.0,28,3224,57,1.18,TN,$46.50,/ TN,$54.87,1.18,TN,$46.50,/ TN,$54.87
1049446,08/06/25,209974-0001-001 H E B   # 0449,R2,30.0,28,3221,56,9.59,TN,$46.50,/ TN,$445.94,9.59,TN,$46.50,/ TN,$445.94
1049453,08/06/25,216065-0001-001 Rodolfo Sepulveda,R1,30.0,28,3299,37,4.21,TN,$46.50,/ TN,$195.77,4.21,TN,$46.50,/ TN,$195.77
1049463,08/06/25,216029-0001-001 TEXAS INTERNATIONAL ENTERPRISE,R1,30.0,28,3223,79,1.9,TN,$46.50,/ TN,$88.35,1.9,TN,$46.50,/ TN,$88.35
1049478,08/06/25,206091-0001-003 PILOT TRAVEL CENTER-0377,R1,30.0,28,3299,37,1.72,TN,$46.50,/ TN,$79.98,1.72,TN,$46.50,/ TN,$79.98
1049499,08/06/25,210687-0001-001 TARGET 2112,R1,30.0,28,3299,37,1.99,TN,$46.50,/ TN,$92.54,1.99,TN,$46.50,/ TN,$92.54
1049514,08/06/25,210584-0001-002 LOWE'S,R2,30.0,28,3226,62,3.05,TN,$46.50,/ TN,$141.83,3.05,TN,$46.50,/ TN,$141.83
1049516,08/06/25,216069-0001-001 INVERSUR PROPERTIES,R1,30.0,28,3224,57,2.14,TN,$46.50,/ TN,$99.51,2.14,TN,$46.50,/ TN,$99.51
1049521,08/06/25,202895-0001-002 WARREN TRANSPORT,R1,15.0,28,3227,37,3.22,TN,$46.50,/ TN,$149.73,3.22,TN,$46.50,/ TN,$149.73
1049529,08/06/25,210131-0001-001 TKR USA INC,R1,30.0,28,3223,79,0.82,TN,$46.50,/ TN,$38.13,0.82,TN,$46.50,/ TN,$38.13
1049537,08/06/25,215903-0001-001 JK LIQUIDATION INC,R1,30.0,28,3227,37,2.46,TN,$46.50,/ TN,$114.39,2.46,TN,$46.50,/ TN,$114.39
1049546,08/07/25,208512-0001-001 FORZA TRANSPORTATION,R1,30.0,28,4221,56,1.48,TN,$46.50,/ TN,$68.82,1.48,TN,$46.50,/ TN,$68.82
1049583,08/08/25,211848-0001-004 MARY HELP OF CHRIST SCHOOL,R1,30.0,28,5224,57,0.89,TN,$46.50,/ TN,$41.39,0.89,TN,$46.50,/ TN,$41.39
1049592,08/06/25,200936-0001-001 COLORSCAPES INC,R1,30.0,28,3223,79,4.57,TN,$46.50,/ TN,$212.51,4.57,TN,$46.50,/ TN,$212.51
1049594,08/07/25,211848-0001-004 MARY HELP OF CHRIST SCHOOL,R1,30.0,28,4299,37,1.31,TN,$46.50,/ TN,$60.92,1.31,TN,$46.50,/ TN,$60.92
1049608,08/07/25,216066-0001-001 WELL WASH,R1,30.0,28,4227,37,5.3,TN,$46.50,/ TN,$246.45,5.3,TN,$46.50,/ TN,$246.45
1049617,08/07/25,214100-0001-001 WAL MART 554,R2,30.0,28,4221,56,3.82,TN,$46.50,/ TN,$177.63,3.82,TN,$46.50,/ TN,$177.63
1049672,08/07/25,210378-0001-002 SOUTH TEXAS FOOD BANK,R1,30.0,28,4224,57,1.7,TN,$46.50,/ TN,$79.05,1.7,TN,$46.50,/ TN,$79.05
1049692,08/07/25,206957-0001-001 KONGSBERG DRIVELINE SYST INC,R1,30.0,28,4227,37,1.64,TN,$46.50,/ TN,$76.26,1.64,TN,$46.50,/ TN,$76.26
1049696,08/07/25,206942-0002-002 CARGOQUIN INC,R1,30.0,28,4226,62,0.21,TN,$46.50,/ TN,$9.77,0.21,TN,$46.50,/ TN,$9.77
1049708,08/07/25,212307-0002-002 MISSION PRODUCE,R1,30.0,13,4221,56,8.98,TN,$216.50,/ TN,"$1,944.17",8.98,TN,$216.50,/ TN,"$1,944.17"
1049720,08/06/25,213920-0001-001 P & P GLOBAL LOGISTICS,R1,30.0,28,3223,79,2.85,TN,$46.50,/ TN,$132.53,2.85,TN,$46.50,/ TN,$132.53
1049764,08/07/25,204100-0001-001 EXL INC,R1,30.0,28,4299,37,11.99,TN,$46.50,/ TN,$557.54,11.99,TN,$46.50,/ TN,$557.54
1049786,08/07/25,215833-0001-001 WASTE HARMONICS PILOT 137000,R2,30.0,28,4226,62,6.73,TN,$46.50,/ TN,$312.95,6.73,TN,$46.50,/ TN,$312.95
1049803,08/07/25,211351-0001-002 ZUNIGA LOGISTICS,R1,30.0,28,4223,79,1.55,TN,$46.50,/ TN,$72.08,1.55,TN,$46.50,/ TN,$72.08
